Trang|Mô tả trang|Key|Tiếng Anh (tham khảo)|Tiếng Việt hiện tại|Tiếng Việt mới (CHỈNH SỬA CỘT NÀY)
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.success.title|Introduction Sent!|Đã bắn tin giới thiệu!|Đã bắn tin giới thiệu!
Kết quả ghép đôi (Matches)|Hiển thị kết quả AI ghép đôi, gửi giới thiệu|matches.success.message|We've sent an email to both you and your match. Check your inbox!|Đã gửi mail cho cả hai rồi nhé. Check inbox ngay và luôn!|Đã gửi mail cho cả hai rồi nhé. Check inbox ngay và luôn!
--- Thanh toán ---|||||
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.title|Complete Your Membership|Hoàn tất thành viên|Hoàn tất thành viên
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.qrPlaceholder|QR Code|Mã QR|Mã QR
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.qrComingSoon|Scan code coming soon|Mã QR sắp có|Mã QR sắp có
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.bankDetails|Bank Transfer Details|Thông tin chuyển khoản|Thông tin chuyển khoản
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.bank|Bank|Ngân hàng|Ngân hàng
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.accountNumber|Account Number|Số tài khoản|Số tài khoản
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.accountName|Account Name|Tên tài khoản|Tên tài khoản
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.amount|Amount|Số tiền|Số tiền
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.reference|Reference|Nội dung chuyển khoản|Nội dung chuyển khoản
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.instructions|After transferring, click "I've Made Payment". Admin will verify and activate your premium membership within 24 hours.|Sau khi chuyển khoản, bấm "Đã thanh toán". Admin sẽ xác minh và kích hoạt tài khoản Premium trong vòng 24 giờ.|Sau khi chuyển khoản, bấm "Đã thanh toán". Admin sẽ xác minh và kích hoạt tài khoản Premium trong vòng 24 giờ.
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.confirmPayment|I've Made Payment|Đã thanh toán|Đã thanh toán
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.confirming|Confirming...|Đang xác nhận...|Đang xác nhận...
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.cancel|Cancel|Hủy|Hủy
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.confirmationTitle|Confirmation Sent!|Đã gửi xác nhận!|Đã gửi xác nhận!
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.confirmationMessage|Admin will verify payment and activate your Premium account within 24 hours.|Admin sẽ xác minh thanh toán và kích hoạt tài khoản Premium trong vòng 24 giờ.|Admin sẽ xác minh thanh toán và kích hoạt tài khoản Premium trong vòng 24 giờ.
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.findConnections|Find Connections Now|Tìm kết nối ngay|Tìm kết nối ngay
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.completePayment|Complete Payment|Hoàn tất thanh toán|Hoàn tất thanh toán
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.paymentUnderReview|Payment Under Review|Đang xác minh thanh toán|Đang xác minh thanh toán
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.paymentReviewMessage|Your payment is being reviewed by admin. You'll be upgraded shortly.|Admin đang xác minh thanh toán. Tài khoản sẽ được nâng cấp sớm thôi.|Admin đang xác minh thanh toán. Tài khoản sẽ được nâng cấp sớm thôi.
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.profileBannerMessage|Complete your membership payment to unlock premium features.|Hoàn tất thanh toán hội phí để mở khóa tính năng Premium.|Hoàn tất thanh toán hội phí để mở khóa tính năng Premium.
Thanh toán|Trang thanh toán hội phí, thông tin chuyển khoản|payment.payNow|Pay Now|Thanh toán ngay|Thanh toán ngay
--- Hẹn hò / Tìm việc ---|||||
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.professionalNetwork|Professional Network|Kết nối công việc|Kết nối công việc
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.findPartner|Find a Partner ❤️|Tìm người yêu ❤️|Tìm người yêu ❤️
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.idealMatch|Describe your ideal match ❤️|Mô tả người trong mộng ❤️|Mô tả người trong mộng ❤️
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.idealMatchPlaceholder|e.g., I'm looking for someone who loves outdoor activities, values honesty, and enjoys deep conversations about life...|Ví dụ: Mình tìm người thích đi du lịch, yêu thiên nhiên, thích nói chuyện sâu sắc...|Ví dụ: Mình tìm người thích đi du lịch, yêu thiên nhiên, thích nói chuyện sâu sắc...
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.findMyMatch|Find My Match ❤️|Tìm người yêu ngay ❤️|Tìm người yêu ngay ❤️
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.searching|Finding your match...|Đang tìm người ấy...|Đang tìm người ấy...
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.findJob|Find a Job 💼|Tìm việc 💼|Tìm việc 💼
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.findCandidates|Recruit 🤝|Tuyển dụng 🤝|Tuyển dụng 🤝
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.jobPreferences|What kind of job are you looking for?|Bạn đang tìm công việc như nào?|Bạn đang tìm công việc như nào?
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.jobPreferencesPlaceholder|e.g., I am looking for a Product Manager role in a tech company...|Ví dụ: Tôi muốn tìm công việc Product Manager ở công ty công nghệ...|Ví dụ: Tôi muốn tìm công việc Product Manager ở công ty công nghệ...
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.hiringPreferences|What kind of candidate are you looking for?|Bạn đang tìm ứng viên như nào?|Bạn đang tìm ứng viên như nào?
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.hiringPreferencesPlaceholder|e.g., Looking for a Senior React Dev with 3 years of experience...|Ví dụ: Cần tuyển Senior React Dev, kinh nghiệm 3 năm...|Ví dụ: Cần tuyển Senior React Dev, kinh nghiệm 3 năm...
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.findJobBtn|Find Job|Tìm việc ngay|Tìm việc ngay
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.findCandidatesBtn|Find Candidates|Tìm ứng viên ngay|Tìm ứng viên ngay
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.completeProfile|Complete Your Profile|Hoàn thiện hồ sơ|Hoàn thiện hồ sơ
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.completeProfileDescription|To use the dating feature, please provide your gender and confirm your availability status.|Để sử dụng tính năng hẹn hò, vui lòng cung cấp giới tính và trạng thái hẹn hò.|Để sử dụng tính năng hẹn hò, vui lòng cung cấp giới tính và trạng thái hẹn hò.
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.selectGender|Select your gender|Chọn giới tính|Chọn giới tính
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.selectStatus|Select status|Chọn trạng thái|Chọn trạng thái
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.genderNote|Note: "Undisclosed" is not available for dating feature|Lưu ý: "Không tiết lộ" không khả dụng cho tính năng hẹn hò|Lưu ý: "Không tiết lộ" không khả dụng cho tính năng hẹn hò
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.statusNote|Only single members can use the dating feature|Chỉ thành viên độc thân mới có thể sử dụng tính năng hẹn hò|Chỉ thành viên độc thân mới có thể sử dụng tính năng hẹn hò
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.saveAndContinue|Save & Continue|Lưu & Tiếp tục|Lưu & Tiếp tục
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.loveDesc|Find a romantic partner within the verified alumni network|Tìm người yêu trong mạng lưới alumni đã xác minh|Tìm người yêu trong mạng lưới alumni đã xác minh
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.jobDesc|Discover open roles or connect with mentors/recruiters|Khám phá cơ hội việc làm hoặc kết nối với mentor/nhà tuyển dụng|Khám phá cơ hội việc làm hoặc kết nối với mentor/nhà tuyển dụng
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.hiringDesc|Find talent for available job positions|Tìm kiếm nhân tài cho vị trí tuyển dụng|Tìm kiếm nhân tài cho vị trí tuyển dụng
Hẹn hò / Tìm việc|Tính năng tìm người yêu, tìm việc, tuyển dụng|dating.partnerDesc|Connect for business partnerships or networking|Kết nối hợp tác kinh doanh hoặc mở rộng mạng lưới|Kết nối hợp tác kinh doanh hoặc mở rộng mạng lưới
--- Hồ sơ cá nhân ---|||||
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.title|My Profile|Hồ sơ của tôi|Hồ sơ của tôi
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.editProfile|Edit Profile|Chỉnh sửa hồ sơ|Chỉnh sửa hồ sơ
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.cancelEdit|Cancel|Hủy|Hủy
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.saveChanges|Save Changes|Lưu thay đổi|Lưu thay đổi
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.memberSince|Member since|Thành viên từ|Thành viên từ
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.sections.about|About|Giới thiệu|Giới thiệu
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.sections.expertise|Expertise & Skills|Chuyên môn & Kỹ năng|Chuyên môn & Kỹ năng
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.sections.career|Career Opportunities|Cơ hội nghề nghiệp|Cơ hội nghề nghiệp
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.sections.personal|Personal Information|Thông tin cá nhân|Thông tin cá nhân
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.sections.social|Social Links|Liên kết mạng xã hội|Liên kết mạng xã hội
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.sections.privacy|Privacy Settings|Cài đặt riêng tư|Cài đặt riêng tư
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.sections.dating|Dating Profile|Hồ sơ hẹn hò|Hồ sơ hẹn hò
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.membership.premium|Premium|Premium|Premium
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.membership.basic|Basic|Cơ bản|Cơ bản
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.membership.pending|Pending|Đang chờ|Đang chờ
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.membership.grace-period|Grace Period|Thời gian gia hạn|Thời gian gia hạn
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.membership.expired|Expired|Hết hạn|Hết hạn
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.membership.expiresOn|Expires|Hết hạn vào|Hết hạn vào
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.privacy.displayNicknameInSearch|Display nickname instead of full name in search results|Hiển thị biệt danh thay vì tên đầy đủ trong kết quả tìm kiếm|Hiển thị biệt danh thay vì tên đầy đủ trong kết quả tìm kiếm
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.privacy.displayNicknameInMatch|Display nickname instead of full name in match results|Hiển thị biệt danh thay vì tên đầy đủ trong kết quả ghép đôi|Hiển thị biệt danh thay vì tên đầy đủ trong kết quả ghép đôi
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.privacy.displayNicknameInEmail|Display nickname instead of full name in email introductions|Hiển thị biệt danh thay vì tên đầy đủ trong email giới thiệu|Hiển thị biệt danh thay vì tên đầy đủ trong email giới thiệu
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.datingDescription|Fill out this section to enhance your dating profile.|Điền phần này để hoàn thiện hồ sơ hẹn hò của bạn.|Điền phần này để hoàn thiện hồ sơ hẹn hò của bạn.
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.selfDescription|Describe yourself in 3 words|Mô tả bản thân trong 3 từ|Mô tả bản thân trong 3 từ
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.selfDescriptionPlaceholder|e.g., Creative, Adventurous, Thoughtful|VD: Sáng tạo, Thích phiêu lưu, Chu đáo|VD: Sáng tạo, Thích phiêu lưu, Chu đáo
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.truthLie|2 Truths & 1 Lie|2 Sự thật & 1 Lời nói dối|2 Sự thật & 1 Lời nói dối
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.truthLiePlaceholder|Share 2 truths and 1 lie about yourself|Chia sẻ 2 sự thật và 1 lời nói dối về bản thân|Chia sẻ 2 sự thật và 1 lời nói dối về bản thân
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.idealDay|My Ideal Day|Ngày lý tưởng của tôi|Ngày lý tưởng của tôi
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.idealDayPlaceholder|Describe your perfect day...|Mô tả ngày hoàn hảo của bạn...|Mô tả ngày hoàn hảo của bạn...
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.qualitiesLookingFor|Qualities I Look For|Phẩm chất tôi tìm kiếm|Phẩm chất tôi tìm kiếm
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.qualitiesPlaceholder|What qualities are you looking for in a partner?|Bạn tìm kiếm phẩm chất gì ở đối tác?|Bạn tìm kiếm phẩm chất gì ở đối tác?
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.coreValues|My Core Values|Giá trị cốt lõi của tôi|Giá trị cốt lõi của tôi
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.coreValuesPlaceholder|What values matter most to you?|Những giá trị nào quan trọng nhất với bạn?|Những giá trị nào quan trọng nhất với bạn?
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.dealBreakers|Deal Breakers|Điều không thể chấp nhận|Điều không thể chấp nhận
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.dealBreakersPlaceholder|What are your relationship deal breakers?|Điều gì là không thể chấp nhận trong mối quan hệ?|Điều gì là không thể chấp nhận trong mối quan hệ?
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.interests|Hobbies & Interests|Sở thích & Thú vui|Sở thích & Thú vui
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.interestsPlaceholder|What do you enjoy doing?|Bạn thích làm gì?|Bạn thích làm gì?
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.message|Message to Potential Matches|Lời nhắn đến người phù hợp|Lời nhắn đến người phù hợp
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.messagePlaceholder|Write a message to someone who might be interested...|Viết lời nhắn đến người có thể quan tâm đến bạn...|Viết lời nhắn đến người có thể quan tâm đến bạn...
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.otherShare|Anything else to share?|Còn gì muốn chia sẻ không?|Còn gì muốn chia sẻ không?
Hồ sơ cá nhân|Trang hồ sơ thành viên, chỉnh sửa thông tin|profile.dating.otherSharePlaceholder|Any other details...|Thông tin khác...|Thông tin khác...
--- Tìm kiếm thành viên ---|||||
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.title|Member Search|Tìm kiếm thành viên|Tìm kiếm thành viên
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.subtitle|Search ABG alumni by name, company, expertise, or class|Tìm alumni ABG theo tên, công ty, chuyên môn hoặc lớp|Tìm alumni ABG theo tên, công ty, chuyên môn hoặc lớp
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.searchPlaceholder|Search members...|Tìm thành viên...|Tìm thành viên...
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.searchButton|Search|Tìm|Tìm
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.filterName|Name|Tên|Tên
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.filterCompany|Company|Công ty|Công ty
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.filterExpertise|Expertise|Chuyên môn|Chuyên môn
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.filterAllClasses|All Classes|Tất cả lớp|Tất cả lớp
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.searchLimitReached|Monthly search limit reached. Upgrade to Pro for unlimited searches.|Đã hết lượt tìm kiếm tháng này. Nâng cấp Pro để tìm kiếm không giới hạn.|Đã hết lượt tìm kiếm tháng này. Nâng cấp Pro để tìm kiếm không giới hạn.
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.searchesRemaining|{remaining}/{limit} searches remaining this month|Còn {remaining}/{limit} lượt tìm kiếm tháng này|Còn {remaining}/{limit} lượt tìm kiếm tháng này
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.searchMinQuery|Enter a search query (min 2 chars) or use filters|Nhập từ khóa (tối thiểu 2 ký tự) hoặc dùng bộ lọc|Nhập từ khóa (tối thiểu 2 ký tự) hoặc dùng bộ lọc
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.searchFailed|Search failed. Please try again.|Tìm kiếm thất bại. Vui lòng thử lại.|Tìm kiếm thất bại. Vui lòng thử lại.
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.noResults|No members found|Không tìm thấy thành viên nào|Không tìm thấy thành viên nào
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.noResultsHint|Try different search terms or filters|Thử từ khóa hoặc bộ lọc khác|Thử từ khóa hoặc bộ lọc khác
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.resultCount|{count} result|{count} kết quả|{count} kết quả
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.resultCountPlural|{count} results|{count} kết quả|{count} kết quả
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.enterQuery|Enter a search query or filter to find members|Nhập từ khóa hoặc bộ lọc để tìm thành viên|Nhập từ khóa hoặc bộ lọc để tìm thành viên
Tìm kiếm thành viên|Trang tìm kiếm danh bạ thành viên|members.signInRequired|Please sign in to search members.|Vui lòng đăng nhập để tìm kiếm thành viên.|Vui lòng đăng nhập để tìm kiếm thành viên.
--- Lịch sử kết nối ---|||||
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.title|Connection History|Lịch sử kết nối|Lịch sử kết nối
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.myRequests|My Requests|Yêu cầu của tôi|Yêu cầu của tôi
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.incomingMatches|Incoming Matches|Người kết nối với tôi|Người kết nối với tôi
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.noRequests|No connection requests yet|Chưa có yêu cầu kết nối nào|Chưa có yêu cầu kết nối nào
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.noIncoming|No one has connected with you yet|Chưa có ai kết nối với bạn|Chưa có ai kết nối với bạn
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.theyWereLookingFor|They were looking for:|Họ đang tìm:|Họ đang tìm:
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.filterAll|All statuses|Tất cả trạng thái|Tất cả trạng thái
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.dateAll|All time|Tất cả thời gian|Tất cả thời gian
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.dateLast7|Last 7 days|7 ngày qua|7 ngày qua
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.dateLast30|Last 30 days|30 ngày qua|30 ngày qua
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.status.pending|Pending|Đang chờ|Đang chờ
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.status.matched|Matched|Đã ghép|Đã ghép
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.status.connected|Connected|Đã kết nối|Đã kết nối
Lịch sử kết nối|Trang xem lịch sử các kết nối đã thực hiện|history.status.declined|Declined|Từ chối|Từ chối
--- Yêu cầu của tôi ---|||||
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.title|My Connection Requests|Yêu cầu kết nối của tôi|Yêu cầu kết nối của tôi
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.subtitle|View and track your connection requests|Xem và theo dõi các yêu cầu kết nối|Xem và theo dõi các yêu cầu kết nối
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.enterEmail|Enter your email to view requests|Nhập email để xem yêu cầu|Nhập email để xem yêu cầu
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.emailPlaceholder|your@email.com|email@example.com|email@example.com
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.viewRequests|View My Requests|Xem yêu cầu của tôi|Xem yêu cầu của tôi
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.loading|Loading your requests...|Đang tải dữ liệu...|Đang tải dữ liệu...
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.noRequests|No connection requests yet|Chưa có yêu cầu kết nối nào|Chưa có yêu cầu kết nối nào
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.noRequestsHelp|Submit a connection request to get started|Gửi yêu cầu kết nối để bắt đầu|Gửi yêu cầu kết nối để bắt đầu
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.requestOn|Requested on|Yêu cầu ngày|Yêu cầu ngày
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.status.pending|Pending|Đang chờ|Đang chờ
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.status.matched|Matched|Đã ghép|Đã ghép
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.status.connected|Connected|Đã kết nối|Đã kết nối
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.status.declined|Declined|Từ chối|Từ chối
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.matchedWith|Matched with|Đã ghép với|Đã ghép với
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.connectedWith|Connected with|Đã kết nối với|Đã kết nối với
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.potentialMatches|Potential matches|Các lựa chọn khả thi|Các lựa chọn khả thi
Yêu cầu của tôi|Trang xem và theo dõi các yêu cầu kết nối đã gửi|myRequests.backToRequests|Back to requests|Quay lại danh sách|Quay lại danh sách
--- Tin tức ---|||||
Tin tức|Trang tin tức và cập nhật cộng đồng|news.pageTitle|Community News & Updates|Tin Tức & Cập Nhật Cộng Đồng|Tin Tức & Cập Nhật Cộng Đồng
Tin tức|Trang tin tức và cập nhật cộng đồng|news.pageSubtitle|Stay updated with the latest news, events, and opportunities from the ABG Alumni community.|Cập nhật tin tức, sự kiện và cơ hội mới nhất từ cộng đồng ABG Alumni.|Cập nhật tin tức, sự kiện và cơ hội mới nhất từ cộng đồng ABG Alumni.
Tin tức|Trang tin tức và cập nhật cộng đồng|news.categories.all|All News|Tất cả|Tất cả
Tin tức|Trang tin tức và cập nhật cộng đồng|news.categories.edu|Edu|Giáo dục|Giáo dục
Tin tức|Trang tin tức và cập nhật cộng đồng|news.categories.business|Business|Kinh doanh|Kinh doanh
Tin tức|Trang tin tức và cập nhật cộng đồng|news.categories.event|Event|Sự kiện|Sự kiện
Tin tức|Trang tin tức và cập nhật cộng đồng|news.categories.course|Course|Khoá học|Khoá học
Tin tức|Trang tin tức và cập nhật cộng đồng|news.categories.announcement|Announcement|Thông báo|Thông báo
Tin tức|Trang tin tức và cập nhật cộng đồng|news.showingArticles|Showing {category} articles|Đang hiển thị bài viết {category}|Đang hiển thị bài viết {category}
Tin tức|Trang tin tức và cập nhật cộng đồng|news.itemCount|{count} Items|{count} bài|{count} bài
Tin tức|Trang tin tức và cập nhật cộng đồng|news.readFullStory|Read full story|Đọc bài đầy đủ|Đọc bài đầy đủ
Tin tức|Trang tin tức và cập nhật cộng đồng|news.loadMore|Load More Articles|Xem thêm bài viết|Xem thêm bài viết
Tin tức|Trang tin tức và cập nhật cộng đồng|news.noArticles|No articles found in this category.|Không có bài viết nào trong danh mục này.|Không có bài viết nào trong danh mục này.
Tin tức|Trang tin tức và cập nhật cộng đồng|news.backToNews|Back to News|Quay lại tin tức|Quay lại tin tức
Tin tức|Trang tin tức và cập nhật cộng đồng|news.published|Published|Đăng ngày|Đăng ngày
Tin tức|Trang tin tức và cập nhật cộng đồng|news.by|By|Bởi|Bởi
Tin tức|Trang tin tức và cập nhật cộng đồng|news.shareArticle|Share this article|Chia sẻ bài viết|Chia sẻ bài viết
Tin tức|Trang tin tức và cập nhật cộng đồng|news.shareTwitter|Share on Twitter|Chia sẻ lên Twitter|Chia sẻ lên Twitter
Tin tức|Trang tin tức và cập nhật cộng đồng|news.shareLinkedIn|Share on LinkedIn|Chia sẻ lên LinkedIn|Chia sẻ lên LinkedIn
Tin tức|Trang tin tức và cập nhật cộng đồng|news.copyLink|Copy link|Sao chép liên kết|Sao chép liên kết
